what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1246125783459
started,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1246125783517
started,bundle,com.google.appengine.eclipse.core,1.0.1.v200905131143,com.google.appengine.eclipse.core,1246125783517
started,bundle,com.google.appengine.eclipse.sdkbundle,1.2.1.v200905131143,com.google.appengine.eclipse.sdkbundle,1246125783591
started,bundle,com.google.gdt.eclipse.core,1.0.1.v200905131143,com.google.gdt.eclipse.core,1246125783592
started,bundle,com.google.gdt.eclipse.suite,1.0.1.v200905131143,com.google.gdt.eclipse.suite,1246125783592
started,bundle,com.google.gwt.eclipse.core,1.0.1.v200905131143,com.google.gwt.eclipse.core,1246125783593
started,bundle,com.google.gwt.eclipse.sdkbundle.macosx,1.6.4.v200904062334,com.google.gwt.eclipse.sdkbundle.macosx,1246125783610
started,bundle,org.eclipse.mylyn.sandbox.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.sandbox.ui,1246125783642
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246125784318
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1246125784429
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1246125784750
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.2.1,org.tigris.subversion.clientadapter.javahl,1246125785388
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.2,org.tigris.subversion.clientadapter.svnkit,1246125785390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246125786654
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1246125786993
started,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1246125787045
